group;team;code;Bet365;Skybet;Paddy Power;William Hill;888sport;Betfair Sportsbook;Bet Victor;Coral;Unibet;Spreadex;Betfred;SBK;Boyle Sports;10Bet;BetUK;Sporting Index;LiveScore Bet;QuinnBet;Betway;Ladbrokes;Midnite;Parimatch;VBet;Betfair;Smarkets;Matchbook
A;Ecuador;ECU;150;150;250;150;150;250;250;125;275;200;250;279;150;150;275;200;150;150;250;125;200;250;200;277;277;283
A;Netherlands;NED;14;14;11;14;14;11;12;12;14;10;14;11.5;12;12;14;14;12;14;14;12;12;12;12;13.4;13.4;14.2
A;Qatar;QAT;250;500;500;250;250;500;500;250;375;500;500;299;250;300;375;300;300;250;500;250;252;500;250;777;479;793
A;Senegal;SEN;125;100;125;80;80;125;100;80;130;100;125;129;80;100;130;80;100;125;100;80;80;100;125;133;133;136
B;England;ENG;8;7;7;7;8;7;7;8;9.5;8;9;9.5;7;8.5;9.5;8;8.5;8;9;8;9.5;7;8;9.6;9.6;9.8
B;Iran;IRN;500;250;500;500;500;500;500;500;700;400;500;299;500;500;700;500;500;500;500;500;505;500;500;479;479;489
B;USA;USA;150;100;125;100;100;125;150;100;225;200;150;249;100;125;225;200;125;150;150;100;150;150;150;249;249;254
B;Wales;WAL;200;150;125;100;150;125;200;150;225;300;250;289;100;200;225;200;200;200;200;150;200;200;200;383;287;381
C;Argentina;ARG;5.5;5.5;5.5;5;5;5.5;5;5;5.5;5;5.5;5.6;5.5;5.5;5.5;5.5;5.5;5.5;5.5;5;5.5;5;5.5;5.5;5.5;5.8
C;Mexico;MEX;150;100;90;100;100;90;200;100;180;200;200;229;100;125;180;150;125;150;150;100;152;200;150;229;229;234
C;Poland;POL;150;100;175;100;100;175;200;100;225;200;200;239;100;150;225;150;150;150;250;100;152;200;150;239;239;244
C;Saudi Arabia;KSA;750;750;500;500;600;500;750;500;900;750;750;499;500;800;900;750;750;500;500;500;505;750;750;959;959;979
D;Australia;AUS;350;500;500;400;400;500;300;250;700;400;500;299;300;400;700;500;400;300;500;250;352;300;350;537;479;548
D;Denmark;DEN;28;28;22;28;28;22;28;25;33;33;28;33;28;22;33;30;22;28;33;25;28;28;28;33;33;32
D;France;FRA;7;6;7;7;7;7;7;7;7;6;7;7;6;7.25;7;6.5;7;7;7;7;6.5;7;6;6.8;6.8;7.2
D;Tunisia;TUN;500;750;500;300;400;500;500;400;900;750;750;499;300;500;900;500;500;500;500;400;500;500;500;959;959;979
E;Costa Rica;CRC;750;750;500;500;600;500;1000;500;900;750;1000;499;1000;800;900;750;750;500;500;500;505;1000;750;959;959;979
E;Germany;GER;10;10;10;10;10;10;11;11;11.5;10;11;11.5;10;10;11.5;10;10;10;11;11;12;11;10;11.6;11.6;11.2
E;Japan;JPN;250;200;300;250;250;300;150;250;425;400;300;289;200;250;425;300;250;250;250;250;252;150;250;460;287;469
E;Spain;ESP;8;8;7.5;9.5;8;7.5;8;8;8.5;7.5;9;8.8;8;8.5;8.5;8;8.5;8;9;8;8;8;8.5;8.6;8.6;8.8
F;Belgium;BEL;16;16;16;16;14;16;16;12;19;16;18;19;14;18;19;15;18;16;16;12;16;16;16;20;20;20
F;Canada;CAN;200;500;300;150;250;300;250;250;325;500;500;299;250;250;325;400;250;200;250;250;200;250;200;710;479;724
F;Croatia;CRO;50;50;35;50;40;35;50;40;60;50;50;64;40;50;60;50;50;50;50;40;51;50;50;67;67;68
F;Morocco;MAR;200;200;300;200;250;300;250;250;225;300;300;289;200;250;225;300;250;200;200;250;200;250;200;421;287;430
G;Brazil;BRA;3.5;3.5;3.5;3.5;3.5;3.5;3.5;3.5;3.8;3.5;4;3.7;3.5;3.3;3.8;3.5;3.5;3.5;3.75;3.5;4;3.5;4;3.5;3.5;3.5
G;Cameroon;CMR;250;250;300;250;250;300;500;250;550;500;400;299;200;250;550;300;250;250;250;250;252;500;250;700;479;714
G;Serbia;SRB;80;80;90;66;80;90;100;100;125;100;100;119;100;80;125;100;80;80;100;100;80;100;80;123;123;117
G;Switzerland;SUI;100;66;90;80;80;90;100;80;130;100;100;89;80;80;130;100;80;100;100;80;100;100;100;133;123;126
H;Ghana;GHA;250;250;300;150;250;300;500;250;375;500;400;299;250;250;375;300;250;250;250;250;252;500;250;633;479;646
H;Portugal;POR;14;14;14;14;14;14;14;16;17;14;16;18;14;16;17;14;16;14;14;16;14;14;14;17.6;17.6;18
H;South Korea;KOR;250;200;300;250;250;300;300;250;550;300;350;289;250;200;550;300;200;250;250;250;252;300;250;431;287;440
H;Uruguay;URU;40;40;35;50;40;35;50;40;45;40;50;47;40;40;45;50;40;40;50;40;51;50;50;47;47;48
