code;group;logOdds;probabilities
ECU;A;-5.62290168594907;0.00360112382211441
NED;A;-2.78879685671075;0.0579325835913125
QAT;A;-6.23153741431669;0.00196256711573725
SEN;A;-4.97788401759509;0.00684149487134059
ENG;B;-2.30175441664799;0.0909777651798699
IRN;B;-6.50684667309182;0.00149095452966537
USA;B;-5.34137618232883;0.00476644742835474
WAL;B;-5.5974675568358;0.00369354734663076
ARG;C;-1.80295522860852;0.141491707481307
MEX;C;-5.30851615532344;0.00492489062274373
POL;C;-5.41778509940495;0.00441736352548677
KSA;C;-6.82722527888235;0.00108268787854476
AUS;D;-6.3342857665252;0.00177126976746147
DEN;D;-3.62917787465706;0.025851934541672
FRA;D;-2.08450128392857;0.110612365915357
TUN;D;-6.6427853968593;0.00130169510117894
CRC;E;-6.88715589689355;0.00101977201718536
GER;E;-2.59170516459718;0.0696741735120929
JPN;E;-5.93422865509022;0.00264027441756225
ESP;E;-2.31027745889357;0.0902753556021295
BEL;F;-3.06054648831133;0.0447643291307066
CAN;F;-6.03639046048464;0.00238447148364495
CRO;F;-4.21552514160156;0.0145497455607785
MAR;F;-5.85475270054808;0.00285805245746608
BRA;G;-1.27672531273469;0.218108163357228
CMR;G;-6.12883349089713;0.00217438319862422
SRB;G;-4.87480726792049;0.0075786907172514
SUI;G;-4.88114920212212;0.0075311400736755
GHA;H;-6.0804474809481;0.00228193383478163
POR;H;-2.97514185923568;0.0485615995556536
KOR;H;-5.98893838804418;0.00250005742884189
URU;H;-4.08678235042776;0.0165158279984184
