round;team1;team2;n;p
RoundOf16;MAR;ESP;2;0.000020
RoundOf16;KOR;CMR;3;0.000030
RoundOf16;JPN;CAN;1;0.000010
RoundOf16;POR;SRB;42536;0.425360
RoundOf16;ENG;NED;4;0.000040
RoundOf16;NED;IRN;1075;0.010750
RoundOf16;BEL;ESP;40;0.000400
RoundOf16;GER;BEL;4;0.000040
RoundOf16;POR;CMR;42553;0.425530
RoundOf16;ESP;BEL;45;0.000450
RoundOf16;ARG;TUN;13;0.000130
RoundOf16;SUI;POR;2;0.000020
RoundOf16;SEN;IRN;14;0.000140
RoundOf16;ENG;QAT;21462;0.214620
RoundOf16;GER;MAR;30;0.000300
RoundOf16;DEN;KSA;1;0.000010
RoundOf16;ENG;ECU;7839;0.078390
RoundOf16;QAT;IRN;1;0.000010
RoundOf16;MAR;GER;45;0.000450
RoundOf16;BRA;GHA;26;0.000260
RoundOf16;AUS;KSA;1;0.000010
RoundOf16;CRO;CRC;1;0.000010
RoundOf16;GER;CRO;25;0.000250
RoundOf16;ARG;AUS;169;0.001690
RoundOf16;CRO;JPN;1;0.000010
RoundOf16;BEL;JPN;12;0.000120
RoundOf16;GHA;BRA;1;0.000010
RoundOf16;ESP;CAN;6269;0.062690
RoundOf16;SEN;WAL;1;0.000010
RoundOf16;BRA;KOR;10538;0.105380
RoundOf16;BRA;URU;89433;0.894330
RoundOf16;CMR;POR;1;0.000010
RoundOf16;FRA;POL;62040;0.620400
RoundOf16;GER;CAN;1;0.000010
RoundOf16;FRA;MEX;29341;0.293410
RoundOf16;BEL;GER;99894;0.998940
RoundOf16;ESP;MAR;6103;0.061030
RoundOf16;ARG;DEN;99815;0.998150
RoundOf16;ESP;CRO;87522;0.875220
RoundOf16;BEL;CRC;5;0.000050
RoundOf16;FRA;KSA;8616;0.086160
RoundOf16;ARG;FRA;3;0.000030
RoundOf16;NED;WAL;63075;0.630750
RoundOf16;ENG;SEN;70694;0.706940
RoundOf16;USA;SEN;1;0.000010
RoundOf16;NED;USA;35834;0.358340
RoundOf16;POR;SUI;14907;0.149070
RoundOf16;TUN;KSA;1;0.000010
Final;WAL;URU;136;0.001360
Final;ECU;CAN;4;0.000040
Final;MEX;MAR;10;0.000100
Final;ECU;GER;39;0.000390
Final;ENG;SUI;153;0.001530
Final;NED;CAN;47;0.000470
Final;NED;KOR;66;0.000660
Final;IRN;POR;3;0.000030
Final;ARG;CMR;507;0.005070
Final;ENG;BEL;1859;0.018590
Final;USA;BRA;477;0.004770
Final;ARG;ESP;4340;0.043400
Final;USA;POR;154;0.001540
Final;IRN;BRA;11;0.000110
Final;SEN;MAR;5;0.000050
Final;DEN;ESP;1268;0.012680
Final;ENG;URU;839;0.008390
Final;WAL;SRB;47;0.000470
Final;WAL;BEL;245;0.002450
Final;DEN;CMR;165;0.001650
Final;ENG;SRB;382;0.003820
Final;ECU;KOR;21;0.000210
Final;AUS;BEL;2;0.000020
Final;QAT;GER;130;0.001300
Final;AUS;MAR;1;0.000010
Final;SEN;SUI;2;0.000020
Final;NED;MAR;35;0.000350
Final;QAT;KOR;4;0.000040
Final;MEX;SRB;15;0.000150
Final;MEX;URU;56;0.000560
Final;SEN;BEL;311;0.003110
Final;ENG;CMR;370;0.003700
Final;POL;CAN;2;0.000020
Final;QAT;CAN;2;0.000020
Final;ECU;MAR;9;0.000090
Final;MEX;GER;184;0.001840
Final;IRN;KOR;1;0.000010
Final;WAL;SUI;17;0.000170
Final;KSA;MAR;5;0.000050
Final;POL;KOR;3;0.000030
Final;SEN;URU;152;0.001520
Final;SEN;SRB;53;0.000530
Final;MEX;CRO;60;0.000600
Final;IRN;GER;11;0.000110
Final;DEN;BEL;711;0.007110
Final;MEX;SUI;7;0.000070
Final;DEN;POR;812;0.008120
Final;QAT;CRO;43;0.000430
Final;SEN;CAN;4;0.000040
Final;KSA;GER;44;0.000440
Final;FRA;GER;3061;0.030610
Final;NED;SRB;305;0.003050
Final;POL;BEL;280;0.002800
Final;SEN;KOR;3;0.000030
Final;ARG;URU;1194;0.011940
Final;QAT;URU;42;0.000420
Final;IRN;CMR;3;0.000030
Final;FRA;KOR;117;0.001170
Final;WAL;CMR;45;0.000450
Final;FRA;CAN;71;0.000710
Final;MEX;BRA;394;0.003940
Final;KSA;CAN;8;0.000080
Final;IRN;ESP;14;0.000140
Final;WAL;ESP;398;0.003980
Final;NED;URU;587;0.005870
Final;SEN;CRO;149;0.001490
Final;USA;ESP;246;0.002460
Final;AUS;GER;1;0.000010
Final;ENG;ESP;3142;0.031420
Final;QAT;SRB;33;0.000330
Final;ARG;SUI;182;0.001820
Final;USA;CMR;32;0.000320
Final;POL;SUI;13;0.000130
Final;KSA;KOR;11;0.000110
Final;DEN;GER;1017;0.010170
Final;SEN;GER;460;0.004600
Final;KSA;POR;39;0.000390
Final;NED;BEL;1262;0.012620
Final;FRA;POR;2405;0.024050
Final;ECU;SUI;11;0.000110
Final;DEN;KOR;41;0.000410
Final;FRA;BRA;7267;0.072670
Final;ARG;BEL;2560;0.025600
Final;KSA;BRA;132;0.001320
Final;POL;URU;125;0.001250
Final;ECU;URU;4;0.000040
Final;FRA;CRO;1005;0.010050
Final;ARG;SRB;580;0.005800
Final;KSA;CRO;1;0.000010
Final;POL;SRB;63;0.000630
Final;USA;SUI;9;0.000090
Final;NED;SUI;92;0.000920
Final;ECU;BEL;38;0.000380
Final;ENG;BRA;6246;0.062460
Final;ENG;POR;2050;0.020500
Final;IRN;URU;1;0.000010
Final;NED;CMR;283;0.002830
Final;USA;BEL;120;0.001200
Final;USA;URU;68;0.000680
Final;ARG;CAN;81;0.000810
Final;ARG;KOR;130;0.001300
Final;AUS;POR;1;0.000010
Final;DEN;MAR;23;0.000230
Final;QAT;ESP;163;0.001630
Final;ECU;ESP;50;0.000500
Final;WAL;POR;295;0.002950
Final;ARG;GER;3589;0.035890
Final;ECU;CMR;5;0.000050
Final;NED;ESP;2222;0.022220
Final;USA;SRB;30;0.000300
Final;DEN;CAN;27;0.000270
Final;FRA;SRB;462;0.004620
Final;MEX;ESP;230;0.002300
Final;WAL;BRA;859;0.008590
Final;MEX;CMR;32;0.000320
Final;ARG;GHA;1;0.000010
Final;ARG;MAR;94;0.000940
Final;ENG;CAN;75;0.000750
Final;ENG;KOR;104;0.001040
Final;SEN;BRA;1120;0.011200
Final;POL;ESP;422;0.004220
Final;POL;CMR;39;0.000390
Final;TUN;BRA;2;0.000020
Final;DEN;SRB;163;0.001630
Final;SEN;POR;335;0.003350
Final;AUS;BRA;5;0.000050
Final;IRN;BEL;1;0.000010
Final;DEN;CRO;326;0.003260
Final;WAL;CRO;132;0.001320
Final;MEX;POR;137;0.001370
Final;USA;MAR;7;0.000070
Final;QAT;BEL;98;0.000980
Final;ENG;CRO;778;0.007780
Final;WAL;KOR;8;0.000080
Final;WAL;GER;351;0.003510
Final;ENG;GER;2738;0.027380
Final;DEN;URU;322;0.003220
Final;DEN;BRA;2493;0.024930
Final;QAT;SUI;12;0.000120
Final;WAL;CAN;3;0.000030
Final;FRA;MAR;65;0.000650
Final;QAT;POR;125;0.001250
Final;AUS;ESP;3;0.000030
Final;MEX;BEL;108;0.001080
Final;SEN;CMR;79;0.000790
Final;QAT;BRA;339;0.003390
Final;ARG;POR;2769;0.027690
Final;DEN;SUI;59;0.000590
Final;SEN;ESP;534;0.005340
Final;POL;BRA;887;0.008870
Final;KSA;CMR;7;0.000070
Final;FRA;CMR;415;0.004150
Final;POL;POR;261;0.002610
Final;POL;GER;356;0.003560
Final;KSA;ESP;71;0.000710
Final;FRA;ESP;3721;0.037210
Final;MEX;KOR;7;0.000070
Final;POL;CRO;100;0.001000
Final;SEN;CRC;1;0.000010
Final;ARG;CRO;1169;0.011690
Final;IRN;MAR;1;0.000010
Final;USA;KOR;11;0.000110
Final;WAL;MAR;5;0.000050
Final;USA;GER;209;0.002090
Final;ECU;BRA;110;0.001100
Final;KSA;URU;3;0.000030
Final;NED;BRA;4552;0.045520
Final;FRA;URU;1037;0.010370
Final;USA;CAN;7;0.000070
Final;FRA;BEL;2133;0.021330
Final;ENG;MAR;48;0.000480
Final;ARG;BRA;8655;0.086550
Final;NED;GER;1820;0.018200
Final;KSA;BEL;40;0.000400
Final;NED;POR;1425;0.014250
Final;NED;CRO;592;0.005920
Final;KSA;SUI;6;0.000060
Final;FRA;SUI;172;0.001720
Final;USA;CRO;58;0.000580
Final;ECU;POR;41;0.000410
SemiFinals;CRO;SRB;773;0.007730
SemiFinals;ESP;SUI;647;0.006470
SemiFinals;USA;QAT;51;0.000510
SemiFinals;KOR;SRB;1;0.000010
SemiFinals;ESP;BEL;7089;0.070890
SemiFinals;URU;SUI;148;0.001480
SemiFinals;MAR;POR;197;0.001970
SemiFinals;BEL;POR;5;0.000050
SemiFinals;GHA;CMR;1;0.000010
SemiFinals;GHA;ESP;1;0.000010
SemiFinals;ESP;SRB;1941;0.019410
SemiFinals;CAN;SRB;1;0.000010
SemiFinals;WAL;FRA;2907;0.029070
SemiFinals;NED;ECU;272;0.002720
SemiFinals;URU;BEL;2503;0.025030
SemiFinals;BRA;MAR;8;0.000080
SemiFinals;IRN;KSA;8;0.000080
SemiFinals;ARG;ENG;15693;0.156930
SemiFinals;URU;SRB;734;0.007340
SemiFinals;ESP;CMR;1878;0.018780
SemiFinals;IRN;QAT;1;0.000010
SemiFinals;NED;POL;2043;0.020430
SemiFinals;USA;ENG;1500;0.015000
SemiFinals;AUS;FRA;12;0.000120
SemiFinals;FRA;ENG;1;0.000010
SemiFinals;IRN;SEN;7;0.000070
SemiFinals;GHA;BEL;1;0.000010
SemiFinals;MAR;ESP;1;0.000010
SemiFinals;GER;SUI;1;0.000010
SemiFinals;URU;MAR;1;0.000010
SemiFinals;BEL;CMR;1;0.000010
SemiFinals;DEN;QAT;431;0.004310
SemiFinals;MAR;CMR;27;0.000270
SemiFinals;BRA;JPN;3;0.000030
SemiFinals;GER;BEL;2;0.000020
SemiFinals;DEN;SEN;1508;0.015080
SemiFinals;DEN;MEX;604;0.006040
SemiFinals;BRA;POR;13357;0.133570
SemiFinals;TUN;FRA;1;0.000010
SemiFinals;NED;FRA;11193;0.111930
SemiFinals;AUS;POL;2;0.000020
SemiFinals;CRO;GER;3223;0.032230
SemiFinals;DEN;KSA;169;0.001690
SemiFinals;BRA;GER;15497;0.154970
SemiFinals;AUS;KSA;4;0.000040
SemiFinals;AUS;SEN;3;0.000030
SemiFinals;IRN;ENG;55;0.000550
SemiFinals;CAN;GER;230;0.002300
SemiFinals;WAL;ENG;2522;0.025220
SemiFinals;CRO;POR;2775;0.027750
SemiFinals;MAR;BEL;172;0.001720
SemiFinals;FRA;SEN;1;0.000010
SemiFinals;ARG;DEN;1;0.000010
SemiFinals;CAN;POR;186;0.001860
SemiFinals;URU;GER;3173;0.031730
SemiFinals;SEN;ECU;1;0.000010
SemiFinals;ARG;FRA;17399;0.173990
SemiFinals;POR;GHA;1;0.000010
SemiFinals;MAR;SRB;1;0.000010
SemiFinals;KOR;GER;368;0.003680
SemiFinals;DEN;POL;1233;0.012330
SemiFinals;ARG;ECU;373;0.003730
SemiFinals;USA;FRA;1602;0.016020
SemiFinals;POR;CMR;1;0.000010
SemiFinals;ESP;POR;8082;0.080820
SemiFinals;ARG;POL;3160;0.031600
SemiFinals;DEN;ECU;162;0.001620
SemiFinals;WAL;QAT;269;0.002690
SemiFinals;KOR;POR;334;0.003340
SemiFinals;SEN;ENG;1;0.000010
SemiFinals;MAR;SUI;76;0.000760
SemiFinals;URU;POR;2805;0.028050
SemiFinals;AUS;ENG;8;0.000080
SemiFinals;IRN;FRA;55;0.000550
SemiFinals;SEN;QAT;1;0.000010
SemiFinals;BRA;CMR;3215;0.032150
SemiFinals;GER;CMR;1;0.000010
SemiFinals;WAL;KSA;28;0.000280
SemiFinals;BRA;ESP;8;0.000080
SemiFinals;WAL;MEX;268;0.002680
SemiFinals;WAL;SEN;656;0.006560
SemiFinals;TUN;QAT;1;0.000010
SemiFinals;BEL;MAR;1;0.000010
SemiFinals;POR;CRC;1;0.000010
SemiFinals;DEN;FRA;6879;0.068790
SemiFinals;GER;ESP;2;0.000020
SemiFinals;ESP;GER;9261;0.092610
SemiFinals;NED;ENG;9910;0.099100
SemiFinals;KOR;CMR;78;0.000780
SemiFinals;USA;POL;250;0.002500
SemiFinals;IRN;ECU;7;0.000070
SemiFinals;WAL;ECU;30;0.000300
SemiFinals;CAN;CMR;62;0.000620
SemiFinals;BRA;SUI;1206;0.012060
SemiFinals;GER;POR;2;0.000020
SemiFinals;IRN;POL;3;0.000030
SemiFinals;CRO;CMR;655;0.006550
SemiFinals;BRA;BEL;11805;0.118050
SemiFinals;ARG;QAT;1145;0.011450
SemiFinals;BRA;CRC;1;0.000010
SemiFinals;MAR;GER;216;0.002160
SemiFinals;ARG;SEN;3876;0.038760
SemiFinals;WAL;POL;550;0.005500
SemiFinals;USA;ECU;81;0.000810
SemiFinals;NED;MEX;920;0.009200
SemiFinals;BRA;SRB;3319;0.033190
SemiFinals;NED;SEN;2473;0.024730
SemiFinals;ARG;KSA;438;0.004380
SemiFinals;KOR;BEL;287;0.002870
SemiFinals;URU;ESP;3;0.000030
SemiFinals;URU;CMR;687;0.006870
SemiFinals;CRO;SUI;145;0.001450
SemiFinals;CAN;BEL;204;0.002040
SemiFinals;TUN;ENG;3;0.000030
SemiFinals;ARG;MEX;1472;0.014720
SemiFinals;KOR;SUI;114;0.001140
SemiFinals;CRO;BEL;2433;0.024330
SemiFinals;DEN;ENG;6107;0.061070
SemiFinals;ESP;MAR;2;0.000020
SemiFinals;BEL;GER;3;0.000030
SemiFinals;USA;KSA;75;0.000750
SemiFinals;ARG;NED;1;0.000010
SemiFinals;NED;KSA;282;0.002820
SemiFinals;NED;QAT;733;0.007330
SemiFinals;USA;MEX;140;0.001400
SemiFinals;USA;SEN;419;0.004190
SemiFinals;CAN;SUI;44;0.000440
QuarterFinals;QAT;POL;1280;0.012800
QuarterFinals;BEL;SRB;8069;0.080690
QuarterFinals;ESP;SUI;1;0.000010
QuarterFinals;ENG;DEN;1;0.000010
QuarterFinals;ESP;BRA;47019;0.470190
QuarterFinals;ESP;POR;13;0.000130
QuarterFinals;CAN;URU;138;0.001380
QuarterFinals;ARG;IRN;268;0.002680
QuarterFinals;ENG;TUN;1;0.000010
QuarterFinals;DEN;WAL;7899;0.078990
QuarterFinals;MAR;URU;95;0.000950
QuarterFinals;TUN;IRN;4;0.000040
QuarterFinals;DEN;USA;4347;0.043470
QuarterFinals;ECU;KSA;405;0.004050
QuarterFinals;MAR;POR;13;0.000130
QuarterFinals;AUS;NED;38;0.000380
QuarterFinals;ARG;USA;8576;0.085760
QuarterFinals;BEL;POR;26687;0.266870
QuarterFinals;GER;GHA;3;0.000030
QuarterFinals;JPN;URU;1;0.000010
QuarterFinals;ESP;URU;15486;0.154860
QuarterFinals;ARG;WAL;15099;0.150990
QuarterFinals;BEL;BRA;15;0.000150
QuarterFinals;CRC;POR;1;0.000010
QuarterFinals;CRO;GHA;2;0.000020
QuarterFinals;BEL;URU;8;0.000080
QuarterFinals;ENG;FRA;46304;0.463040
QuarterFinals;TUN;SEN;2;0.000020
QuarterFinals;GER;CMR;9556;0.095560
QuarterFinals;JPN;POR;3;0.000030
QuarterFinals;SEN;MEX;1862;0.018620
QuarterFinals;ESP;CMR;8;0.000080
QuarterFinals;ESP;KOR;1760;0.017600
QuarterFinals;ENG;KSA;1800;0.018000
QuarterFinals;ENG;MEX;6000;0.060000
QuarterFinals;QAT;KSA;51;0.000510
QuarterFinals;SEN;FRA;16398;0.163980
QuarterFinals;DEN;NED;21659;0.216590
QuarterFinals;QAT;MEX;791;0.007910
QuarterFinals;ECU;POL;95;0.000950
QuarterFinals;GER;SUI;3359;0.033590
QuarterFinals;BEL;CMR;7790;0.077900
QuarterFinals;MAR;CMR;9;0.000090
QuarterFinals;ENG;POL;12639;0.126390
QuarterFinals;QAT;FRA;4901;0.049010
QuarterFinals;AUS;IRN;2;0.000020
QuarterFinals;GER;POR;32149;0.321490
QuarterFinals;MAR;KOR;499;0.004990
QuarterFinals;FRA;IRN;2;0.000020
QuarterFinals;GER;BRA;30;0.000300
QuarterFinals;CRO;KOR;69;0.000690
QuarterFinals;SEN;AUS;1;0.000010
QuarterFinals;GER;URU;1;0.000010
QuarterFinals;SEN;KSA;385;0.003850
QuarterFinals;CAN;KOR;447;0.004470
QuarterFinals;AUS;WAL;4;0.000040
QuarterFinals;ARG;SEN;7;0.000070
QuarterFinals;JPN;SUI;2;0.000020
QuarterFinals;AUS;USA;17;0.000170
QuarterFinals;GER;SRB;9650;0.096500
QuarterFinals;DEN;IRN;127;0.001270
QuarterFinals;CRO;BRA;22655;0.226550
QuarterFinals;ECU;MEX;288;0.002880
QuarterFinals;SEN;POL;4988;0.049880
QuarterFinals;ECU;FRA;1809;0.018090
QuarterFinals;BEL;SUI;2688;0.026880
QuarterFinals;CAN;BRA;1707;0.017070
QuarterFinals;CRC;KOR;1;0.000010
QuarterFinals;MAR;BRA;1592;0.015920
QuarterFinals;CRO;URU;8470;0.084700
QuarterFinals;ARG;NED;41948;0.419480
QuarterFinals;BEL;KOR;1;0.000010
QuarterFinals;NED;KSA;1;0.000010
QuarterFinals;CRC;CMR;1;0.000010
QuarterFinals;TUN;WAL;1;0.000010
QuarterFinals;JPN;CMR;2;0.000020
