code;group;pWinning;pFinalist;pSemiFinalist;pQuarterFinalist;pRoundOfSixteen;ability
ECU;A;0.001050;0.003320;0.009260;0.025970;0.078390;0.720424
NED;A;0.058040;0.132880;0.278270;0.636460;0.999880;1.161467
QAT;A;0.003370;0.009910;0.026320;0.070230;0.214630;0.718317
SEN;A;0.010540;0.032080;0.089460;0.236430;0.707100;0.717115
ENG;B;0.090980;0.187840;0.358000;0.667450;0.999990;1.434992
IRN;B;0.000110;0.000460;0.001360;0.004030;0.010900;0.672278
USA;B;0.004520;0.014280;0.041180;0.129400;0.358350;0.675141
WAL;B;0.008090;0.025410;0.072300;0.230030;0.630760;0.669596
ARG;C;0.142870;0.258510;0.435580;0.658980;1.000000;1.860640
MEX;C;0.003590;0.012400;0.034040;0.089410;0.293410;0.696410
POL;C;0.008210;0.025510;0.072410;0.190020;0.620400;0.693584
KSA;C;0.001180;0.003670;0.010040;0.026420;0.086190;0.692242
AUS;D;0.000020;0.000130;0.000290;0.000620;0.001700;0.940538
DEN;D;0.029580;0.074270;0.170940;0.340330;0.998160;0.953684
FRA;D;0.110690;0.219310;0.400500;0.694140;1.000000;1.572726
TUN;D;0.000000;0.000020;0.000050;0.000080;0.000140;0.938886
CRC;E;0.000010;0.000010;0.000020;0.000030;0.000060;1.091540
GER;E;0.069160;0.140100;0.319790;0.547480;0.999990;1.341726
JPN;E;0.000000;0.000000;0.000030;0.000080;0.000140;1.237324
ESP;E;0.090330;0.168240;0.289150;0.642870;0.999810;1.559725
BEL;F;0.044320;0.097680;0.245060;0.452580;1.000000;1.120873
CAN;F;0.001180;0.003310;0.007270;0.022920;0.062710;0.865207
CRO;F;0.017170;0.044130;0.100040;0.311960;0.875490;0.869483
MAR;F;0.001160;0.003080;0.007020;0.022080;0.061800;0.860341
BRA;G;0.218080;0.335490;0.484190;0.730180;0.999980;2.511615
CMR;G;0.007170;0.019820;0.066060;0.173660;0.425570;0.762718
SRB;G;0.007520;0.021330;0.067700;0.177190;0.425360;0.768169
SUI;G;0.002410;0.007350;0.023810;0.060500;0.149090;0.769543
GHA;H;0.000000;0.000010;0.000040;0.000050;0.000270;0.909250
POR;H;0.048550;0.108520;0.277460;0.588660;0.999990;1.096080
KOR;H;0.002270;0.005270;0.011820;0.027770;0.105410;0.907698
URU;H;0.017830;0.045660;0.100540;0.241990;0.894330;0.915400
